fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3,7
6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10.0,6
6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,7
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
7.0,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
7.0,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9.0,4
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3.0,0.43,9.4,6
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5
6.0,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
6.0,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9.0,5
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6
9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6
6.0,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,7
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
10.0,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,6
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10.0,6
6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5
8.0,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11.0,6
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6
6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2,6
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7
7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7
6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,5
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6
9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7
7.0,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10.0,5
6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,6
7.0,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3.0,0.35,9.2,5
5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6
6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11.0,6
7.5,0.28,0.78,12.1,0.041,53,161,0.99838,2.98,0.44,8.7,5
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
7.0,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
7.0,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9.0,6
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10.0,5
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10.0,6
8.0,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5
8.0,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,6
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,6
6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6
7.0,0.25,0.56,2,0.035,20,95,0.9918,3.23,0.53,11.0,6
8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10.0,6
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
7.0,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7
6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
7.0,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6
9.0,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
8.0,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5
6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,7
7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,6
7.0,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11.0,8
6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6
7.0,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
7.0,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
7.0,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4
6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,6
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3.0,0.54,10.9,6
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5
7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5
9.0,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7
6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6
6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12.0,7
6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6
7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
7.0,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5
6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,6
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11.0,7
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11.0,6
7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,6
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10.0,6
5.0,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,7
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10.0,6
7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,6
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9.0,6
6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6
5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6
6.9,0.29,0.4, ,0.043,36,156,0.9996,2.93,0.47,8.9,5
6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.55,6
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
8.0,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10.0,6
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
6.3,0.28,0.3,6.6,0.208,60,154,0.99478,3.1,0.4,9.4,6
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9.0,5
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7,5
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13.0,7
7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,7
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
6.0,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5
7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7
6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,6
6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6
6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10.0,5
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3.0,0.54,9.3,5
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13.0,8
6.0,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11.0,6
6.0,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9.0,5
6.0,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11.0,6
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11.0,6
5.0,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9.0,6
7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7
5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6
7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
6.0,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12.0,6
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9.0,4
7.3,0.26,0.53,12.7,0.047,60.5,156,0.9984,3.06,0.45,9.1,6
5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14.0,6
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,5
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5
6.0,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
7.0,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5
8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12.0,6
8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12.0,5
7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,7
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
6.0,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6
5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10.0,6
6.2,0.21,0.18,11.6,0.044,61,155,0.99655,3.14,0.52,9.4,6
6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10.0,6
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4
6.0,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,6
6.0,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,8
6.0,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6
5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12.0,6
9.8,0.42,0.48,9.85,0.034,5, ,0.9958,2.87,0.29,10.0,5
6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,7
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7
5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11.0,8
6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5
6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6
6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7
6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
6.9,0.4,0.42,6.2,0.066,41,176,0.99552,3.12,0.54,9.4,5
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,6
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13.0,7
6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3,6
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
7.0,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6
7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,4
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10.0,5
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11.0,5
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
5.0,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10.0,5
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7
6.0,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6
6.0,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,6
8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6
5.0,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,7
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
